ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159337.SZ,20260309,1.876,1.849,1.863,1.815,1.861,-0.015,-0.7996,107573.0,19713.849
159337.SZ,20260306,1.866,1.866,1.881,1.85,1.876,0.01,0.5359,64866.0,12127.67
159337.SZ,20260305,1.86,1.9,1.9,1.852,1.866,0.006,0.3226,72115.0,13495.838
159337.SZ,20260304,1.859,1.821,1.881,1.821,1.86,0.001,0.0538,107480.0,19986.173
159337.SZ,20260303,1.939,1.938,1.939,1.858,1.859,-0.08,-4.1258,182998.0,34604.412
159337.SZ,20260302,1.937,1.925,1.946,1.917,1.939,0.002,0.1033,94198.0,18213.095
159337.SZ,20260227,1.918,1.905,1.938,1.905,1.937,0.019,0.9906,66209.0,12748.948
159337.SZ,20260226,1.913,1.915,1.923,1.901,1.918,0.005,0.2614,66702.0,12751.471
159337.SZ,20260225,1.881,1.883,1.916,1.883,1.913,0.032,1.7012,73965.0,14069.759
159337.SZ,20260224,1.866,1.882,1.894,1.867,1.881,0.015,0.8039,66272.0,12466.982
159337.SZ,20260213,1.89,1.882,1.885,1.863,1.866,-0.024,-1.2698,81059.0,15192.981
159337.SZ,20260212,1.868,1.866,1.892,1.866,1.89,0.022,1.1777,65600.0,12350.018
159337.SZ,20260211,1.858,1.86,1.876,1.859,1.868,0.01,0.5382,40585.0,7588.624
159337.SZ,20260210,1.861,1.862,1.865,1.849,1.858,-0.003,-0.1612,40276.0,7484.206
159337.SZ,20260209,1.829,1.863,1.863,1.843,1.861,0.032,1.7496,67910.82,12584.233
159337.SZ,20260206,1.826,1.816,1.849,1.795,1.829,0.003,0.1643,87994.0,16045.775
159337.SZ,20260205,1.858,1.844,1.844,1.812,1.826,-0.032,-1.7223,99589.01,18172.5
159337.SZ,20260204,1.856,1.858,1.862,1.832,1.858,0.002,0.1078,81077.0,14952.73
159337.SZ,20260203,1.802,1.811,1.857,1.807,1.856,0.054,2.9967,137209.89,25114.387
159337.SZ,20260202,1.88,1.879,1.879,1.8,1.802,-0.078,-4.1489,180039.0,32983.54
159337.SZ,20260130,1.912,1.888,1.905,1.848,1.88,-0.032,-1.6736,184107.88,34497.956
159337.SZ,20260129,1.927,1.925,1.938,1.909,1.912,-0.015,-0.7784,92990.0,17902.501
159337.SZ,20260128,1.916,1.917,1.935,1.91,1.927,0.011,0.5741,88333.0,16957.744
159337.SZ,20260127,1.91,1.91,1.923,1.875,1.916,0.006,0.3141,155172.0,29429.995
159337.SZ,20260126,1.931,1.938,1.951,1.895,1.91,-0.021,-1.0875,185856.0,35680.643
