ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159371.SZ,20260309,1.581,1.585,1.589,1.522,1.568,-0.013,-0.8223,15460.0,2388.39
159371.SZ,20260306,1.578,1.57,1.592,1.557,1.581,0.003,0.1901,7783.0,1228.819
159371.SZ,20260305,1.547,1.57,1.602,1.566,1.578,0.031,2.0039,20318.0,3217.845
159371.SZ,20260304,1.574,1.561,1.574,1.542,1.547,-0.027,-1.7154,20498.0,3186.495
159371.SZ,20260303,1.608,1.616,1.63,1.572,1.574,-0.034,-2.1144,10296.0,1648.082
159371.SZ,20260302,1.618,1.588,1.622,1.586,1.608,-0.01,-0.618,27844.0,4478.737
159371.SZ,20260227,1.637,1.618,1.627,1.606,1.618,-0.019,-1.1607,14056.0,2267.414
159371.SZ,20260226,1.641,1.641,1.641,1.62,1.637,-0.004,-0.2438,27522.0,4470.463
159371.SZ,20260225,1.622,1.622,1.65,1.62,1.641,0.019,1.1714,16782.0,2736.989
159371.SZ,20260224,1.6,1.615,1.64,1.615,1.622,0.022,1.375,17243.0,2805.672
159371.SZ,20260213,1.627,1.63,1.63,1.6,1.6,-0.027,-1.6595,12872.0,2070.805
159371.SZ,20260212,1.607,1.611,1.63,1.611,1.627,0.02,1.2446,10663.0,1730.455
159371.SZ,20260211,1.629,1.636,1.636,1.606,1.607,-0.022,-1.3505,12529.0,2020.077
159371.SZ,20260210,1.633,1.634,1.643,1.625,1.629,-0.004,-0.2449,8633.0,1412.64
159371.SZ,20260209,1.579,1.595,1.638,1.595,1.633,0.054,3.4199,24426.0,3975.478
159371.SZ,20260206,1.595,1.587,1.608,1.569,1.579,-0.016,-1.0031,14368.0,2273.171
159371.SZ,20260205,1.623,1.617,1.617,1.588,1.595,-0.028,-1.7252,14291.0,2280.184
159371.SZ,20260204,1.63,1.609,1.626,1.588,1.623,-0.007,-0.4294,17124.0,2743.54
159371.SZ,20260203,1.605,1.699,1.747,1.594,1.63,0.025,1.5576,23176.0,3763.514
159371.SZ,20260202,1.645,1.647,1.671,1.604,1.605,-0.04,-2.4316,22664.0,3698.706
159371.SZ,20260130,1.613,1.629,1.655,1.596,1.645,0.032,1.9839,56811.0,9227.89
159371.SZ,20260129,1.62,1.62,1.636,1.607,1.613,-0.007,-0.4321,23876.0,3885.26
159371.SZ,20260128,1.624,1.627,1.636,1.606,1.62,-0.004,-0.2463,18779.0,3036.575
159371.SZ,20260127,1.614,1.614,1.636,1.597,1.624,0.01,0.6196,24398.0,3950.812
