ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159300.SZ,20260309,4.932,4.883,4.903,4.822,4.89,-0.042,-0.8516,157340.0,76381.325
159300.SZ,20260306,4.92,4.907,4.948,4.887,4.932,0.012,0.2439,60453.0,29733.921
159300.SZ,20260305,4.874,4.901,4.945,4.901,4.92,0.046,0.9438,130542.0,64263.931
159300.SZ,20260304,4.95,4.904,4.915,4.848,4.874,-0.076,-1.5354,141740.34,69215.397
159300.SZ,20260303,5.007,5.013,5.021,4.939,4.95,-0.057,-1.1384,125106.0,62243.378
159300.SZ,20260302,5.005,4.999,5.015,4.939,5.007,0.002,0.04,87346.0,43433.589
159300.SZ,20260227,5.008,4.988,5.006,4.972,5.005,-0.003,-0.0599,183300.89,91418.495
159300.SZ,20260226,5.012,5.015,5.025,4.982,5.008,-0.004,-0.0798,93655.78,46816.467
159300.SZ,20260225,4.985,4.985,5.05,4.985,5.012,0.027,0.5416,70924.78,35616.667
159300.SZ,20260224,4.946,4.994,5.004,4.954,4.985,0.039,0.7885,135804.0,67763.723
159300.SZ,20260213,4.997,4.995,4.995,4.94,4.946,-0.051,-1.0206,271482.0,134596.769
159300.SZ,20260212,4.992,4.992,5.002,4.984,4.997,0.005,0.1002,69401.76,34659.594
159300.SZ,20260211,5.003,5.004,5.004,4.983,4.992,-0.011,-0.2199,55205.0,27572.856
159300.SZ,20260210,4.993,4.994,5.01,4.986,5.003,0.01,0.2003,103659.0,51820.42
159300.SZ,20260209,4.915,4.955,4.993,4.946,4.993,0.078,1.587,91761.95,45648.729
159300.SZ,20260206,4.944,4.884,4.953,4.869,4.915,-0.029,-0.5866,91377.0,44881.997
159300.SZ,20260205,4.966,4.957,4.958,4.905,4.944,-0.022,-0.443,70027.0,34540.281
159300.SZ,20260204,4.929,4.901,4.971,4.901,4.966,0.037,0.7507,97611.0,48080.49
159300.SZ,20260203,4.874,4.896,4.929,4.843,4.929,0.055,1.1284,143693.4,70380.817
159300.SZ,20260202,4.985,4.99,4.99,4.869,4.874,-0.111,-2.2267,174346.0,85813.569
159300.SZ,20260130,5.032,5.025,5.025,4.91,4.985,-0.047,-0.934,205417.68,102257.825
159300.SZ,20260129,4.997,4.996,5.05,4.974,5.032,0.035,0.7004,101515.59,50825.529
159300.SZ,20260128,4.986,4.986,5.008,4.974,4.997,0.011,0.2206,122801.81,61329.182
159300.SZ,20260127,4.987,4.985,5.005,4.942,4.986,-0.001,-0.0201,100688.0,50169.813
159300.SZ,20260126,4.98,4.976,5.028,4.957,4.987,0.007,0.1406,212513.0,106029.647
159300.SZ,20260123,4.99,4.995,5.013,4.965,4.98,-0.01,-0.2004,171334.53,85383.008
159300.SZ,20260122,4.998,4.998,5.031,4.975,4.99,-0.008,-0.1601,122355.0,61076.028
159300.SZ,20260121,4.993,4.982,5.032,4.982,4.998,0.005,0.1001,86997.0,43589.227
159300.SZ,20260120,5.003,4.994,5.021,4.952,4.993,-0.01,-0.1999,92839.0,46232.907
159300.SZ,20260119,5.002,5.0,5.039,4.98,5.003,0.001,0.02,91986.0,46047.504
159300.SZ,20260116,5.014,5.027,5.063,4.99,5.002,-0.012,-0.2393,119423.0,59980.339
159300.SZ,20260115,5.012,5.001,5.038,4.987,5.014,0.002,0.0399,119221.92,59721.822
159300.SZ,20260114,5.036,5.036,5.099,4.986,5.012,-0.024,-0.4766,232316.9,117166.808
159300.SZ,20260113,5.057,5.057,5.11,5.019,5.036,-0.021,-0.4153,229148.99,115853.155
159300.SZ,20260112,5.029,5.03,5.075,5.006,5.057,0.028,0.5568,152348.0,76678.913
159300.SZ,20260109,5.008,5.009,5.047,4.99,5.029,0.021,0.4193,101234.79,50857.706
